"","geoCode","day_1-20240501-20240501","day_2-20240502-20240502"
"Alabama","US-AL",100.76,127.27
"Alaska","US-AK",0,0
"Arizona","US-AZ",131.43,113.64
"Arkansas","US-AR",83.24,127.27
"California","US-CA",92,100
"Colorado","US-CO",105.14,122.73
"Connecticut","US-CT",131.43,113.64
"Delaware","US-DE",162.1,163.64
"District of Columbia","US-DC",438.1,454.55
"Florida","US-FL",113.9,118.18
"Georgia","US-GA",100.76,104.55
"Hawaii","US-HI",83.24,159.09
"Idaho","US-ID",105.14,122.73
"Illinois","US-IL",113.9,118.18
"Indiana","US-IN",109.52,104.55
"Iowa","US-IA",74.48,90.91
"Kansas","US-KS",87.62,90.91
"Kentucky","US-KY",74.48,109.09
"Louisiana","US-LA",56.95,104.55
"Maine","US-ME",140.19,150
"Maryland","US-MD",118.29,150
"Massachusetts","US-MA",127.05,104.55
"Michigan","US-MI",131.43,127.27
"Minnesota","US-MN",113.9,131.82
"Mississippi","US-MS",87.62,90.91
"Missouri","US-MO",122.67,86.36
"Montana","US-MT",135.81,0
"Nebraska","US-NE",144.57,81.82
"Nevada","US-NV",113.9,109.09
"New Hampshire","US-NH",122.67,68.18
"New Jersey","US-NJ",135.81,122.73
"New Mexico","US-NM",109.52,127.27
"New York","US-NY",131.43,127.27
"North Carolina","US-NC",113.9,259.09
"North Dakota","US-ND",0,0
"Ohio","US-OH",105.14,90.91
"Oklahoma","US-OK",105.14,159.09
"Oregon","US-OR",113.9,145.45
"Pennsylvania","US-PA",162.1,145.45
"Rhode Island","US-RI",162.1,127.27
"South Carolina","US-SC",113.9,104.55
"South Dakota","US-SD",0,0
"Tennessee","US-TN",109.52,90.91
"Texas","US-TX",92,95.45
"Utah","US-UT",61.33,100
"Vermont","US-VT",0,0
"Virginia","US-VA",113.9,131.82
"Washington","US-WA",131.43,118.18
"West Virginia","US-WV",184,140.91
"Wisconsin","US-WI",131.43,136.36
"Wyoming","US-WY",0,0
