"","geoCode","/m/012gx2"
"Alabama","US-AL",47
"Alaska","US-AK",60
"Arizona","US-AZ",51
"Arkansas","US-AR",54
"California","US-CA",48
"Colorado","US-CO",54
"Connecticut","US-CT",54
"Delaware","US-DE",74
"District of Columbia","US-DC",100
"Florida","US-FL",52
"Georgia","US-GA",45
"Hawaii","US-HI",44
"Idaho","US-ID",51
"Illinois","US-IL",48
"Indiana","US-IN",50
"Iowa","US-IA",53
"Kansas","US-KS",51
"Kentucky","US-KY",45
"Louisiana","US-LA",45
"Maine","US-ME",57
"Maryland","US-MD",55
"Massachusetts","US-MA",57
"Michigan","US-MI",55
"Minnesota","US-MN",53
"Mississippi","US-MS",40
"Missouri","US-MO",51
"Montana","US-MT",65
"Nebraska","US-NE",52
"Nevada","US-NV",47
"New Hampshire","US-NH",62
"New Jersey","US-NJ",51
"New Mexico","US-NM",63
"New York","US-NY",50
"North Carolina","US-NC",45
"North Dakota","US-ND",50
"Ohio","US-OH",46
"Oklahoma","US-OK",55
"Oregon","US-OR",57
"Pennsylvania","US-PA",53
"Rhode Island","US-RI",60
"South Carolina","US-SC",44
"South Dakota","US-SD",63
"Tennessee","US-TN",49
"Texas","US-TX",45
"Utah","US-UT",55
"Vermont","US-VT",62
"Virginia","US-VA",53
"Washington","US-WA",57
"West Virginia","US-WV",55
"Wisconsin","US-WI",54
"Wyoming","US-WY",61
